,open,close,high,low,volume,H-L,H-PC,L-PC,TR,ATR,Upper Basic,Lower Basic,Upper Band,Lower Band,SuperTrend
1025,324.0,324.0,324.5,323.9,0,0.6000000000000227,0.10000000000002274,0.5,0.6000000000000227,0.8021695593368695,326.6065086780106,321.7934913219894,325.6821624993702,323.08444988520483,323.08444988520483
1026,324.4,323.75,324.4,324.0,0,0.39999999999997726,0.39999999999997726,0.0,0.39999999999997726,0.751898364419758,326.45569509325924,321.94430490674074,325.6821624993702,323.08444988520483,323.08444988520483
1027,324.2,323.65,324.2,323.8,0,0.39999999999997726,0.44999999999998863,0.05000000000001137,0.44999999999998863,0.7141610688672868,326.14248320660187,321.85751679339813,325.6821624993702,323.08444988520483,323.08444988520483
1028,323.9,323.4,324.0,323.55,0,0.44999999999998863,0.35000000000002274,0.0999999999999659,0.44999999999998863,0.6811409352588745,325.8184228057766,321.73157719422335,325.6821624993702,323.08444988520483,323.08444988520483
1029,323.9,323.0,323.9,322.45,0,1.4499999999999886,0.5,0.9499999999999886,1.4499999999999886,0.7772483183515138,325.5067449550545,320.8432550449454,325.5067449550545,323.08444988520483,325.5067449550545
1030,323.4,323.1,323.4,322.9,0,0.5,0.39999999999997726,0.10000000000002274,0.5,0.7425922785575745,325.3777768356727,320.92222316432725,325.3777768356727,320.92222316432725,325.3777768356727
1031,323.0,323.1,323.65,322.85,0,0.7999999999999545,0.5499999999999545,0.25,0.7999999999999545,0.749768243737872,325.4993047312136,321.0006952687864,325.3777768356727,321.0006952687864,325.3777768356727
1032,323.0,323.6,323.25,322.8,0,0.44999999999998863,0.14999999999997726,0.30000000000001137,0.44999999999998863,0.7122972132706366,325.16189163981187,320.8881083601881,325.16189163981187,321.0006952687864,325.16189163981187
1033,323.0,323.45,323.5,322.9,0,0.6000000000000227,0.10000000000002274,0.7000000000000455,0.7000000000000455,0.7107600616118127,325.33228018483544,321.06771981516454,325.16189163981187,321.06771981516454,325.16189163981187
1034,323.6,323.45,323.6,323.3,0,0.30000000000001137,0.1500000000000341,0.14999999999997726,0.30000000000001137,0.6594150539103375,325.42824516173107,321.471754838269,325.16189163981187,321.471754838269,325.16189163981187
1035,323.45,323.0,323.55,323.3,0,0.25,0.10000000000002274,0.14999999999997726,0.25,0.6082381721715453,325.24971451651464,321.6002854834854,325.16189163981187,321.6002854834854,325.16189163981187
1036,323.3,323.2,323.5,323.0,0,0.5,0.5,0.0,0.5,0.5947084006501021,325.0341252019503,321.4658747980497,325.0341252019503,321.6002854834854,325.0341252019503
1037,323.0,324.95,323.25,323.0,0,0.25,0.05000000000001137,0.19999999999998863,0.25,0.5516198505688393,324.7798595517065,321.4701404482935,324.7798595517065,321.6002854834854,321.6002854834854
1038,324.4,324.4,325.5,324.4,0,1.1000000000000227,0.5500000000000114,0.5500000000000114,1.1000000000000227,0.6201673692477372,326.8105021077432,323.08949789225676,326.8105021077432,323.08949789225676,323.08949789225676
1039,324.9,323.65,325.0,323.4,0,1.6000000000000227,0.6000000000000227,1.0,1.6000000000000227,0.7426464480917729,326.42793934427533,321.97206065572465,326.42793934427533,323.08949789225676,323.08949789225676
1040,324.4,323.1,324.4,323.55,0,0.8499999999999659,0.75,0.0999999999999659,0.8499999999999659,0.756065642080297,326.2431969262409,321.70680307375915,326.2431969262409,323.08949789225676,323.08949789225676
